Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Pin code,Output,Feedback
20,0,2,3,4,2,3,560001,1,1
24,0,2,3,2,0,2,560009,1,1
22,1,2,3,2,2,2,560017,1,0
22,0,2,3,4,0,5,560019,1,1
22,1,2,3,2,2,3,560010,1,1
27,0,0,0,3,2,1,560103,1,1
22,1,2,3,4,0,2,560009,1,1
24,0,2,3,4,2,2,560042,1,1
23,0,2,3,4,2,1,560001,1,1
23,0,2,3,4,2,3,560048,1,1
22,0,2,3,4,2,4,560010,1,1
23,1,2,3,2,2,1,560009,1,0
23,1,2,3,4,2,4,560078,1,1
21,1,2,3,4,0,3,560009,1,1
23,0,2,2,0,2,4,560004,1,1
24,0,2,3,4,2,5,560068,1,1
28,0,2,0,1,2,1,560038,1,1
23,0,2,3,4,0,2,560008,1,0
25,1,2,3,4,0,3,560078,1,0
21,0,2,3,2,2,0,560038,1,1
24,1,2,3,4,2,2,560009,1,1
22,1,2,3,4,2,3,560032,1,1
22,0,2,3,4,0,3,560033,1,1
23,1,2,3,4,0,3,560021,1,1
21,1,2,3,2,2,2,560085,1,1
25,1,2,3,4,2,2,560008,1,1
22,0,2,3,4,2,4,560050,1,1
22,1,2,3,4,2,2,560098,1,1
23,0,2,0,0,0,2,560048,1,1
22,1,2,3,2,2,3,560003,1,1
22,0,2,0,0,0,4,560066,1,1
22,1,2,3,4,2,3,560038,1,1
25,1,0,0,3,1,3,560034,1,1
22,0,2,3,0,2,4,560010,1,1
22,0,2,3,4,2,1,560102,1,1
25,1,2,3,0,2,2,560085,1,1
25,1,2,3,4,2,4,560009,0,1
32,0,1,1,4,0,4,560008,1,0
23,0,2,3,4,2,2,560004,1,1
23,0,2,3,4,2,3,560078,1,1
30,1,0,2,3,4,3,560025,1,0
23,1,2,3,4,0,2,560026,1,1
23,1,2,3,4,2,3,560021,1,1
22,0,2,3,4,2,4,560010,1,1
22,1,2,3,4,0,4,560010,1,1
27,0,0,2,0,2,1,560034,1,1
24,0,2,3,4,2,2,560009,1,1
23,1,2,3,4,2,1,560009,1,1
23,0,2,3,4,0,2,560008,1,0
22,0,2,3,0,2,4,560010,1,1
23,0,2,3,4,0,4,560043,1,1
23,0,2,3,4,2,1,560009,1,1
24,1,2,3,4,2,2,560009,1,1
25,1,2,3,4,2,1,560002,1,1
22,1,2,3,4,2,2,560085,1,1
28,0,0,3,4,0,1,560086,1,1
22,0,2,3,4,2,0,560076,1,1
24,0,2,3,4,0,2,560009,1,1
31,1,0,0,3,1,4,560102,1,1
25,1,2,3,4,2,3,560086,1,1
23,1,2,3,4,2,4,560078,1,1
22,1,2,3,4,2,2,560076,1,1
23,1,2,3,1,2,0,560096,1,1
23,1,2,3,4,0,3,560029,1,1
23,0,2,3,4,2,1,560003,1,1
25,1,2,3,4,2,5,560046,1,1
24,1,2,0,0,0,3,560030,1,1
23,0,2,3,4,2,3,560024,1,1
23,0,2,3,4,2,3,560024,1,1
24,0,0,0,3,1,3,560004,1,1
22,1,2,3,4,0,3,560020,1,1
24,0,2,3,0,2,2,560028,0,1
25,0,2,3,4,2,2,560001,1,1
23,1,2,3,4,2,1,560076,1,1
26,1,2,3,4,2,3,560003,1,1
24,0,2,3,1,2,2,560064,1,1
26,1,2,3,4,2,3,560036,1,1
21,1,2,3,4,0,3,560009,1,1
22,0,2,3,4,2,2,560009,1,1
24,1,2,3,4,2,4,560011,1,1
24,1,2,3,0,2,3,560061,1,1
23,0,2,3,4,2,2,560009,1,1
23,1,2,3,4,2,2,560029,1,1
22,1,2,3,4,2,2,560004,1,1
23,1,2,3,4,2,2,560009,1,1
24,0,2,3,4,2,3,560038,1,1
24,1,2,3,4,2,4,560011,1,1
25,1,2,3,4,0,0,560009,1,1
25,1,2,3,4,2,4,560009,0,1
28,1,0,2,0,0,1,560022,0,0
27,0,1,0,1,2,4,560022,0,1
26,1,2,2,0,1,0,560066,0,1
22,1,2,3,4,2,1,560009,1,1
24,0,2,3,4,2,2,560009,1,1
23,1,2,3,4,2,0,560027,1,1
25,1,2,3,4,0,0,560009,1,1
23,0,2,3,4,0,4,560043,1,1
23,0,2,3,4,0,4,560043,1,1
26,1,0,0,1,0,4,560007,0,1
32,0,0,1,4,4,2,560012,0,1
24,0,2,3,0,2,2,560028,0,1
23,1,2,3,4,2,1,560030,1,1
22,0,2,0,0,0,2,560066,1,1
24,0,2,3,4,1,2,560004,1,1
26,1,2,0,1,0,1,560034,1,0
28,1,0,0,3,0,2,560066,0,1
26,1,2,0,3,2,1,560066,0,1
25,1,2,3,4,2,0,560029,1,1
25,1,2,0,2,0,1,560066,0,1
18,1,2,3,4,0,4,560002,1,1
21,1,2,3,4,2,3,560009,1,1
25,1,2,3,4,2,0,560029,1,1
25,1,2,3,2,2,1,560021,1,1
23,0,2,3,4,0,4,560043,1,1
23,1,2,0,0,2,1,560010,1,1
25,0,0,0,1,0,3,560017,0,0
31,0,0,1,4,3,4,560022,1,1
24,1,1,2,3,1,1,560006,0,1
32,0,0,0,1,0,4,560034,1,1
25,1,2,0,1,0,2,560001,1,1
27,0,0,2,3,0,4,560001,0,1
26,1,2,2,1,0,2,560001,1,1
26,0,2,2,1,2,2,560002,1,1
32,1,0,0,3,1,4,560002,1,0
24,1,0,2,3,1,5,560002,0,0
27,0,0,2,1,0,2,560002,1,1
23,1,2,3,4,2,2,560009,1,1
25,1,2,3,4,2,3,560009,1,1
23,1,2,3,4,2,2,560009,1,1
23,0,2,3,4,2,3,560024,1,1
28,1,0,0,3,2,2,560003,1,1
32,0,0,0,3,0,0,560003,0,1
23,1,2,3,4,2,1,560003,1,1
19,1,2,3,4,0,1,560003,0,0
19,0,2,3,4,0,3,560047,1,1
27,0,0,0,1,2,1,560066,0,1
25,1,2,2,1,0,2,560005,1,1
33,1,0,0,3,1,4,560005,0,0
26,0,2,0,3,0,2,560005,1,1
22,0,2,3,2,2,3,560029,1,1
23,1,2,3,4,2,2,560064,0,1
22,0,2,3,4,0,2,560096,1,0
25,1,0,0,1,0,1,560005,1,1
30,0,0,1,4,3,4,560005,1,1
24,1,2,3,4,2,2,560006,0,0
25,1,2,0,0,2,2,560006,1,1
23,1,2,3,3,2,2,560009,1,1
24,0,2,3,4,2,3,560073,1,1
32,1,0,0,0,0,3,560038,1,1
22,1,2,3,4,2,3,560020,1,1
23,1,2,3,3,2,2,560009,1,1
23,0,2,3,4,2,3,560024,1,1
20,1,2,3,4,0,1,560007,1,1
21,1,2,3,4,0,1,560007,1,1
24,0,0,2,0,0,4,560007,1,1
23,0,2,3,4,2,3,560024,1,1
25,1,2,0,1,2,2,560010,1,1
32,0,0,1,4,0,2,560010,1,1
27,1,0,0,3,1,4,560010,0,0
20,0,2,3,4,0,1,560011,1,1
21,1,2,3,4,0,1,560011,1,1
26,1,2,0,3,2,2,560011,0,0
25,1,2,0,0,0,3,560016,1,1
26,1,2,0,1,2,2,560012,1,1
26,0,0,0,1,0,2,560012,1,1
27,1,2,0,3,1,3,560013,0,1
27,0,2,3,4,1,4,560013,0,0
24,0,2,3,4,2,4,560051,1,1
25,1,0,2,3,3,1,560015,1,1
20,1,2,3,4,0,1,560015,0,0
22,1,2,3,4,2,0,560015,1,1
26,0,0,3,2,1,2,560016,1,1
27,1,1,0,1,2,0,560016,1,1
25,0,2,3,4,2,2,560017,1,1
24,1,2,0,2,0,1,560017,1,1
23,0,2,0,0,0,5,560017,1,1
22,1,2,3,4,0,1,560018,0,1
26,1,0,2,3,2,2,560018,0,0
26,1,2,0,2,2,0,560018,1,0
25,0,0,2,1,2,2,560018,0,1
29,0,0,0,3,0,2,560018,0,1
23,1,2,3,2,0,2,560109,1,0
22,0,2,0,1,0,3,560066,1,1
22,1,2,3,4,0,1,560020,0,1
32,0,0,1,4,3,4,560020,1,1
28,1,0,0,3,2,0,560021,1,1
22,1,2,3,4,2,1,560009,1,1
25,1,2,0,0,0,1,560023,1,1
26,0,0,0,1,2,1,560023,0,0
31,1,0,2,3,3,5,560024,1,1
24,1,2,3,4,2,2,560024,0,0
24,1,2,0,1,2,1,560025,1,1
31,0,0,0,3,1,4,560025,1,1
26,1,2,0,1,0,1,560029,1,1
24,0,0,2,3,0,1,560029,1,1
22,0,2,3,4,0,2,560029,1,1
19,1,2,3,4,0,5,560030,1,1
25,1,0,0,3,2,5,560030,1,1
23,0,0,1,4,3,5,560030,1,1
23,0,2,3,4,0,1,560032,0,0
23,1,2,3,4,2,1,560034,1,1
24,1,2,3,4,2,4,560104,1,1
22,0,2,0,1,0,3,560076,1,1
26,1,0,0,3,0,3,560036,1,1
25,0,2,3,4,1,2,560036,1,1
20,1,2,3,4,0,1,560034,1,1
29,1,0,0,1,0,3,560034,0,0
23,0,2,3,4,0,0,560009,1,1
25,1,2,2,3,0,1,560038,1,1
29,0,0,0,1,0,3,560038,0,0
27,1,0,2,1,0,5,560041,0,0
25,1,2,2,0,0,2,560043,1,1
21,1,2,3,4,0,1,560046,0,0
23,1,2,3,4,0,2,560049,1,1
24,0,2,0,0,2,3,560011,1,1
32,1,0,2,0,3,2,560008,1,0
28,1,0,0,1,2,4,560045,1,1
26,1,2,0,0,0,1,560041,0,0
31,0,0,1,4,0,4,560055,1,1
27,0,0,2,1,0,2,560055,1,1
21,0,2,3,4,2,0,560041,1,1
23,0,2,3,4,0,1,560060,0,1
26,1,0,0,0,0,3,560060,0,1
32,1,0,0,3,0,4,560061,1,1
25,0,0,3,4,2,1,560062,1,1
28,1,2,2,0,2,1,560070,1,1
21,0,2,3,4,2,2,560070,1,1
24,1,2,3,4,2,1,560075,1,1
26,0,0,2,0,0,4,560075,0,0
32,1,0,0,1,0,2,560075,1,1
29,1,2,2,3,0,5,560076,1,1
21,1,2,3,4,0,4,560038,1,1
24,0,2,2,1,2,2,560080,0,0
26,1,1,2,3,2,1,560080,1,1
25,1,0,0,3,1,2,560085,1,1
29,1,2,0,1,0,2,560092,0,0
22,1,2,3,4,0,2,560096,1,1
24,1,2,3,4,0,1,560027,1,1
27,1,0,0,1,0,1,560076,1,1
23,0,2,3,4,2,2,560095,0,1
32,1,0,0,3,2,5,560095,1,1
22,0,2,3,4,0,1,560095,1,1
28,1,0,0,1,0,2,560095,1,1
23,0,2,3,4,2,1,560096,1,1
30,1,0,2,3,0,0,560097,0,0
21,1,2,3,4,0,2,560092,1,1
26,0,0,0,2,0,5,560093,0,0
25,1,2,2,3,3,2,560093,1,1
31,1,1,0,2,0,0,560091,0,0
23,0,2,0,1,2,1,560100,1,1
29,0,0,0,1,1,2,560100,1,1
21,1,2,3,4,0,5,560100,1,1
20,1,2,3,4,0,2,560103,1,1
22,1,2,0,0,0,1,560103,1,1
30,0,0,1,4,3,5,560042,0,1
27,1,0,2,3,0,2,560079,1,1
23,1,2,3,4,2,1,560009,0,0
30,1,0,2,1,3,5,560059,0,0
23,1,2,3,4,2,2,560067,1,1
28,0,0,0,1,2,5,560067,0,0
30,1,0,2,3,0,5,560067,1,1
24,0,0,0,1,2,1,560018,1,0
21,1,2,3,4,0,1,560018,0,0
23,0,1,0,0,0,2,560020,0,0
25,1,0,2,3,2,3,560043,1,1
24,0,2,0,1,0,1,560068,1,1
26,1,0,0,0,0,2,560068,0,0
25,0,2,0,1,2,1,560067,1,1
22,1,2,3,1,0,2,560038,1,1
26,0,2,0,1,2,1,560038,1,1
23,1,2,0,0,0,1,560021,1,1
21,0,2,0,2,0,1,560021,0,0
25,1,0,2,1,0,2,560027,1,1
24,0,0,0,0,2,1,560027,1,1
22,1,0,3,4,0,1,560014,1,1
23,0,2,3,4,2,3,560024,1,1
24,1,0,0,3,2,2,560056,1,1
22,0,2,3,4,0,1,560056,1,1
30,1,0,0,3,0,4,560072,0,0
23,0,1,0,0,0,3,560036,1,1
19,1,2,3,4,0,5,560036,1,1
21,0,2,3,4,0,1,560080,1,1
23,1,2,3,4,0,3,560080,1,1
24,0,2,0,1,0,2,560068,1,1
26,0,0,0,0,2,1,560042,0,1
26,0,2,3,4,1,1,560023,1,1
25,0,2,3,0,0,1,560023,1,1
28,0,0,0,1,0,4,560023,0,0
25,0,2,3,4,2,2,560014,1,1
20,0,2,3,4,0,1,560014,1,1
27,0,0,2,3,0,5,560014,0,1
25,0,0,0,1,0,2,560015,0,1
24,0,2,3,4,2,4,560015,0,0
25,0,0,0,3,0,0,560009,0,0
25,0,1,0,1,2,2,560005,0,0
24,0,0,3,2,1,4,560015,1,1
24,1,2,3,4,2,2,560015,1,1
22,1,2,0,0,0,0,560006,1,1
28,1,2,0,1,2,1,560006,0,0
25,0,2,0,3,2,5,560012,0,0
22,1,2,3,2,2,2,560017,1,0
22,0,2,3,4,0,5,560019,1,1
22,1,2,3,2,2,3,560010,1,1
27,0,0,0,3,2,1,560103,1,1
22,1,2,3,4,0,2,560009,1,1
24,0,2,3,4,2,2,560042,1,1
23,0,2,3,4,2,1,560001,1,1
23,0,2,3,4,2,3,560048,1,1
22,0,2,3,4,2,4,560010,1,1
23,1,2,3,2,2,1,560009,1,0
32,1,0,0,3,0,4,560061,1,1
25,0,0,3,4,2,1,560062,1,1
28,1,2,2,0,2,1,560070,1,1
21,0,2,3,4,2,2,560070,1,1
24,1,2,3,4,2,1,560075,1,1
26,0,0,2,0,0,4,560075,0,0
32,1,0,0,1,0,2,560075,1,1
29,1,2,2,3,0,5,560076,1,1
21,1,2,3,4,0,4,560038,1,1
24,0,2,2,1,2,2,560080,0,0
26,1,1,2,3,2,1,560080,1,1
21,1,0,0,3,1,2,560085,1,1
29,1,2,0,1,0,2,560092,0,0
22,1,2,3,4,0,2,560096,1,1
24,1,2,3,4,0,1,560027,1,1
27,1,0,0,1,0,1,560076,1,1
23,0,2,3,4,2,2,560095,0,1
32,1,0,0,3,2,5,560095,1,1
22,0,2,3,4,0,1,560095,1,1
22,0,2,0,1,0,3,560076,1,1
26,1,0,0,3,0,3,560036,1,1
25,0,2,3,4,1,2,560036,1,1
20,1,2,3,4,0,1,560034,1,1
29,1,0,0,1,0,3,560034,0,0
23,0,2,3,4,0,0,560009,1,1
25,1,2,2,3,0,1,560038,1,1
29,0,0,0,1,0,3,560038,0,0
27,1,0,2,1,0,5,560041,0,1
25,1,2,2,0,0,2,560043,1,1
21,1,2,3,4,0,1,560046,0,0
23,1,2,3,4,0,2,560049,1,1
24,0,2,0,0,2,3,560011,1,1
22,1,0,2,0,3,2,560008,1,0
28,1,0,0,1,2,4,560045,1,1
26,1,2,0,0,0,1,560041,0,0
22,0,2,0,1,0,3,560076,1,1
26,1,0,0,3,0,3,560036,1,1
25,0,2,3,4,1,2,560036,1,1
20,1,2,3,4,0,1,560034,1,1
29,1,0,0,1,0,3,560034,0,0
23,0,2,3,4,0,0,560009,1,1
25,1,2,2,3,0,1,560038,1,1
29,0,0,0,1,0,3,560038,0,1
27,1,0,2,1,0,5,560041,0,1
25,1,2,2,0,0,2,560043,1,1
21,1,2,3,4,0,1,560046,0,1
24,1,2,3,4,2,1,560075,1,1
26,0,0,2,0,0,4,560075,0,0
32,1,0,0,1,0,2,560075,1,1
29,1,2,2,3,0,5,560076,1,1
21,1,2,3,4,0,4,560038,1,1
24,0,2,2,1,2,2,560080,0,0
26,1,1,2,3,2,1,560080,1,1
31,1,0,0,3,1,2,560085,1,1
29,1,2,0,1,0,2,560092,0,0
22,1,2,3,4,0,2,560096,1,1
24,1,2,3,4,0,1,560027,1,1
27,1,0,0,1,0,1,560076,1,1
23,0,2,3,4,2,2,560095,0,1
30,1,0,0,3,2,5,560095,1,1
22,0,2,3,4,0,1,560095,1,1
28,1,0,0,1,0,2,560095,1,1
23,0,2,3,4,2,1,560096,1,1
30,1,0,2,3,0,0,560097,0,0
21,1,2,3,4,0,2,560092,1,0
26,0,0,0,2,0,5,560093,0,0
25,1,2,2,3,3,2,560093,1,1
31,1,1,0,2,0,0,560091,0,0
23,0,2,0,1,2,1,560100,1,1
22,1,2,3,2,2,3,560010,1,1
27,0,0,0,3,2,1,560103,1,1
22,1,2,3,4,0,2,560009,1,1
24,0,2,3,4,2,2,560042,1,1
23,0,2,3,4,2,1,560001,1,1
23,0,2,3,4,2,3,560048,1,1
22,0,2,3,4,2,4,560010,1,1
23,1,2,3,2,2,1,560009,1,1
23,1,2,3,4,2,4,560078,1,1
