City,Age,Salary,Eligible for bonus
Mumbai,31,117566,Yes
Mumbai,,115960,
Mumbai,60,118348,No
Tokyo,61,109439,No
NewYork,52,34271,No
Tokyo,66,,
Tokyo,69,76107,No
Singapore,38,86419,Yes
Singapore,56,32860,No
Singapore,17,39267,No
NewYork,60,70037,No
Mumbai,56,,
Mumbai,,65980,
Mumbai,,109426,
Tokyo,37,52052,Yes
Singapore,,,
Tokyo,,105559,
NewYork,68,105695,No
Tokyo,49,42654,No
Singapore,65,,
Singapore,63,89520,No
Tokyo,28,67491,Yes
Mumbai,28,106381,Yes
Singapore,22,31660,No
Mumbai,22,71819,Yes
Singapore,,106456,
Mumbai,70,49411,No
Tokyo,46,,
Mumbai,40,,
Mumbai,,41171,
Singapore,51,111439,No
Tokyo,19,115879,Yes
Mumbai,,64730,
Tokyo,35,119771,Yes
Mumbai,32,113075,Yes
Singapore,68,119690,No
Tokyo,59,99797,No
Tokyo,66,40842,No
Singapore,63,,
Singapore,22,,
Singapore,31,114072,Yes
NewYork,52,99806,No
Tokyo,,102195,
NewYork,,78890,
Tokyo,26,,
Mumbai,27,89190,Yes
NewYork,,66976,
Mumbai,63,68719,No
Tokyo,,94199,
NewYork,70,63409,No
Singapore,49,59360,No
Mumbai,,44160,
Tokyo,24,50701,Yes
NewYork,66,73734,No
NewYork,31,46917,Yes
NewYork,61,43782,No
Singapore,55,,
NewYork,22,54314,Yes
Mumbai,39,,
Singapore,30,54826,Yes
Mumbai,,103049,
Singapore,29,44302,Yes
Singapore,18,87168,Yes
Tokyo,21,103037,Yes
Tokyo,,62218,
Mumbai,33,33357,No
NewYork,34,63346,Yes
Mumbai,29,105582,Yes
Mumbai,22,69719,Yes
Mumbai,,,
Tokyo,28,60394,Yes
Singapore,35,89952,Yes
NewYork,60,,
Mumbai,35,94716,Yes
Singapore,34,65605,Yes
Tokyo,49,59974,No
Singapore,64,101136,No
Tokyo,47,46211,No
Tokyo,56,91652,No
Singapore,53,,
NewYork,26,,
NewYork,18,116005,Yes
NewYork,,41032,
NewYork,59,73818,No
Mumbai,50,51690,No
NewYork,28,80718,Yes
Mumbai,26,109930,Yes
Mumbai,65,103450,No
Mumbai,69,94367,No
NewYork,43,55524,No
NewYork,,85321,
Mumbai,48,30217,No
Tokyo,43,109180,No
Tokyo,24,79619,Yes
Tokyo,,51133,
Tokyo,31,79067,Yes
Singapore,53,57357,No
Singapore,67,106225,No
Singapore,,37580,
NewYork,61,55496,No
Mumbai,,72703,
Mumbai,22,35310,No
Tokyo,,84091,
Tokyo,43,97300,No
Singapore,21,68861,Yes
Singapore,,,
NewYork,27,64323,Yes
Mumbai,,96828,
NewYork,69,114512,No
NewYork,56,98392,No
Tokyo,20,36763,No
Singapore,,84417,
Tokyo,21,83030,Yes
NewYork,18,116130,Yes
Tokyo,55,69919,No
Singapore,38,112298,Yes
Singapore,25,,
Singapore,62,,
Singapore,67,44385,No
Mumbai,49,98971,No
NewYork,51,39488,No
Mumbai,32,59886,Yes
Mumbai,55,107195,No
NewYork,,30657,
NewYork,34,86043,Yes
NewYork,,31670,
Mumbai,,,
Mumbai,38,112356,Yes
Mumbai,38,,
Tokyo,32,112508,Yes
NewYork,,76922,
Tokyo,48,81831,No
Mumbai,26,35530,No
Singapore,,98182,
Tokyo,23,36559,No
Singapore,,116413,
NewYork,41,,
Singapore,47,,
Singapore,,31944,
Mumbai,41,90590,No
Singapore,51,62917,No
Tokyo,32,60205,Yes
Tokyo,,61537,
NewYork,62,48481,No
Tokyo,56,49843,No
Mumbai,,79345,
Tokyo,66,95164,No
Tokyo,26,47333,Yes
Tokyo,54,65827,No
Tokyo,34,53951,Yes
Tokyo,60,44983,No
Tokyo,68,45381,No
Singapore,59,,
Mumbai,,91238,
NewYork,,35556,
Singapore,61,,
Tokyo,33,,
Tokyo,54,66312,No
Singapore,40,49365,No
Mumbai,19,55880,Yes
NewYork,21,80891,Yes
Mumbai,49,52389,No
NewYork,41,90614,No
Mumbai,26,73352,Yes
Tokyo,49,119732,No
Tokyo,,110795,
Mumbai,59,72313,No
Singapore,57,41615,No
Tokyo,,69033,
Mumbai,,110986,
Singapore,,45186,
Singapore,19,,
NewYork,63,56534,No
NewYork,64,45971,No
Mumbai,27,103753,Yes
Mumbai,,61828,
NewYork,45,51984,No
Singapore,16,57511,Yes
Singapore,,114221,
Tokyo,32,117643,Yes
NewYork,36,68138,Yes
Singapore,39,77283,Yes
Tokyo,32,,
Singapore,,108026,
Mumbai,20,35546,No
Singapore,,97367,
Mumbai,50,59664,No
Tokyo,31,111329,Yes
Singapore,,115227,
NewYork,47,91300,No
NewYork,69,50132,No
Mumbai,30,46743,Yes
Mumbai,57,42254,No
Singapore,23,50023,Yes
Mumbai,34,82595,Yes
Mumbai,29,69203,Yes
NewYork,60,70229,No
Mumbai,68,53742,No
NewYork,45,,
Singapore,42,63409,No
Mumbai,42,89835,No
Tokyo,,42477,
Mumbai,,,
Singapore,34,38308,No
NewYork,67,61423,No
Mumbai,58,34632,No
NewYork,62,39239,No
Mumbai,22,95182,Yes
Tokyo,28,65652,Yes
Singapore,40,106058,No
Tokyo,65,56324,No
NewYork,31,78510,Yes
Singapore,19,118158,Yes
NewYork,18,43037,Yes
NewYork,18,,
NewYork,,61117,
Singapore,59,99010,No
Mumbai,54,,
Tokyo,19,103318,Yes
NewYork,30,97501,Yes
Singapore,62,97591,No
Tokyo,55,96276,No
NewYork,36,33491,No
Singapore,,,
NewYork,27,84654,Yes
NewYork,,40507,
NewYork,46,66244,No
Singapore,63,63694,No
Mumbai,,37742,
Tokyo,20,105594,Yes
Singapore,48,113258,No
Mumbai,17,96199,Yes
NewYork,24,,
Singapore,18,47598,Yes
Singapore,31,,
Singapore,22,35013,No
NewYork,23,94229,Yes
Singapore,47,78780,No
NewYork,34,118678,Yes
Mumbai,32,98043,Yes
Tokyo,38,101411,Yes
NewYork,44,90481,No
Tokyo,63,110295,No
NewYork,30,79090,Yes
NewYork,67,85319,No
Singapore,42,57984,No
Tokyo,,57554,
Tokyo,,115242,
NewYork,63,83714,No
NewYork,24,68814,Yes
Mumbai,56,,
Mumbai,31,115880,Yes
Singapore,,,
Tokyo,21,111564,Yes
NewYork,30,,
NewYork,65,69060,No
