City,Age,Salary,Eligible for bonus
Berlin,,81335,
Istanbul,38,62937,Yes
Sydney,65,61153,No
Chicago,33,,
Bangkok,43,59626,No
Cairo,59,53508,No
Paris,66,,
London,59,106103,No
Chicago,,42370,
HongKong,61,55646,No
Mumbai,78,83562,No
Seoul,54,,
LosAngeles,53,107371,No
Seoul,56,75640,No
Cairo,54,111619,No
Paris,20,48147,Yes
Tokyo,,63535,
Moscow,,72246,
RioDeJaneiro,28,,
Chicago,40,107998,No
Seoul,,119236,
Chicago,29,59470,Yes
Cairo,58,52620,No
HongKong,56,,
Singapore,57,62922,No
Seoul,32,78938,Yes
Seoul,34,114298,Yes
HongKong,55,118316,No
Toronto,,,
Cairo,69,56247,No
Cairo,,37876,
Paris,13,137150,Yes
LosAngeles,49,61983,No
Bangkok,49,55407,No
NewYork,,,
LosAngeles,61,88412,No
Delhi,,68906,
Berlin,44,34979,No
Cairo,62,88398,No
Paris,,82656,
Bangkok,39,74817,Yes
Bangkok,,33755,
NewYork,37,84812,Yes
Berlin,,66067,
Bangkok,41,,
Moscow,70,56921,No
Istanbul,47,45040,No
Cairo,23,91789,Yes
Toronto,33,83289,Yes
Paris,,107804,
Berlin,,,
Mumbai,,75121,
NewYork,22,32610,No
Seoul,31,70636,Yes
NewYork,,117446,
Berlin,46,82024,No
HongKong,69,116933,No
London,46,100953,No
London,61,,
NewYork,34,,
Paris,30,99587,Yes
Cairo,35,36619,No
Singapore,47,101215,No
Mumbai,61,105445,No
RioDeJaneiro,59,85625,No
Tokyo,53,78186,No
Toronto,65,48124,No
Mumbai,,79238,
Moscow,38,98445,Yes
Shanghai,23,115339,Yes
Shanghai,61,57877,No
Tokyo,,,
Singapore,36,42486,Yes
Sydney,46,,
Berlin,,91293,
Istanbul,33,56483,Yes
London,34,160689,Yes
Paris,,85996,
Berlin,41,89298,No
Chicago,42,63499,No
Sydney,,,
Delhi,16,56803,Yes
Mumbai,69,49411,No
Bangkok,44,,
Seoul,,94762,
Paris,55,48763,No
NewYork,42,70894,No
London,69,71156,No
Istanbul,33,73384,Yes
Moscow,36,114893,Yes
Seoul,,113326,
Seoul,42,30708,No
Singapore,21,67604,Yes
Mumbai,52,71855,No
Paris,56,52166,No
Paris,66,,
Seoul,49,93795,No
Tokyo,44,,
Paris,51,37900,No
Singapore,29,74920,Yes
Cairo,50,137594,No
Singapore,,,
Berlin,47,95604,No
Berlin,,34854,
Seoul,,,
Shanghai,28,95508,Yes
RioDeJaneiro,68,92057,No
Chicago,44,47575,No
Bangkok,37,35467,No
Berlin,,39594,
NewYork,78,,
Paris,22,118068,Yes
Toronto,26,99385,Yes
LosAngeles,71,78668,No
LosAngeles,23,,
Tokyo,68,95911,No
Seoul,58,87137,No
Istanbul,,52272,
Shanghai,28,124943,Yes
Cairo,31,39511,No
Bangkok,36,,
Berlin,,115633,
Shanghai,,38344,
Moscow,,106687,
NewYork,37,42751,Yes
Cairo,64,,
Sydney,48,55718,No
Delhi,26,86278,Yes
Bangkok,68,57091,No
Seoul,,139076,
Tokyo,,114217,
LosAngeles,53,76629,No
London,12,91276,Yes
Toronto,61,98862,No
Tokyo,30,54983,Yes
Seoul,16,119582,Yes
Delhi,45,80482,No
Mumbai,35,97241,Yes
London,,111515,
Paris,55,49411,No
Toronto,46,,
Paris,32,85485,Yes
Moscow,,30731,
Istanbul,24,61149,Yes
Bangkok,17,69897,Yes
Shanghai,24,92048,Yes
Moscow,31,90688,Yes
Sydney,28,31981,No
Chicago,54,54548,No
Singapore,43,86754,No
Istanbul,21,86723,Yes
Cairo,47,42608,No
Toronto,69,116707,No
Berlin,38,,
Bangkok,34,46649,Yes
Mumbai,20,32656,No
Tokyo,36,54915,Yes
Cairo,26,32072,No
Delhi,21,,
Sydney,,33832,
Berlin,64,45141,No
Cairo,52,50444,No
Bangkok,65,49203,No
Shanghai,69,79087,No
London,27,53594,Yes
Moscow,71,159440,No
Moscow,16,62841,Yes
Singapore,,26386,
London,,97003,
Tokyo,61,110981,No
LosAngeles,62,,
Istanbul,65,33537,No
Berlin,68,34160,No
NewYork,19,,
HongKong,29,,
Sydney,59,105346,No
Shanghai,62,31885,No
HongKong,20,,
Seoul,39,88277,Yes
Mumbai,41,,
Moscow,,,
London,57,80456,No
RioDeJaneiro,27,,
Tokyo,59,99182,No
RioDeJaneiro,48,101165,No
LosAngeles,54,,
Shanghai,42,56930,No
Seoul,52,82610,No
HongKong,39,,
Delhi,,39540,
London,,91020,
HongKong,51,88422,No
Istanbul,16,93048,Yes
LosAngeles,,83635,
NewYork,49,37719,No
Cairo,16,65296,Yes
Delhi,20,,
London,30,77363,Yes
LosAngeles,37,51997,Yes
Toronto,40,115791,No
Paris,32,75107,Yes
Bangkok,,41278,
Istanbul,27,57242,Yes
Moscow,,117810,
Delhi,37,101793,Yes
Moscow,,31499,
Chicago,56,,
Sydney,,117282,
Tokyo,17,72201,Yes
Mumbai,54,,
Tokyo,59,,
HongKong,,83463,
Seoul,17,42761,Yes
Sydney,,,
Istanbul,66,91102,No
Paris,62,58666,No
Singapore,,112313,
Istanbul,50,105444,No
Toronto,22,38335,No
Cairo,29,143824,Yes
Toronto,25,68640,Yes
Istanbul,20,77227,Yes
Istanbul,30,108326,Yes
Cairo,65,,
Delhi,49,,
Seoul,17,76894,Yes
London,,,
Bangkok,64,49569,No
RioDeJaneiro,69,112954,No
Seoul,,71123,
Paris,37,73521,Yes
Chicago,64,104167,No
Bangkok,27,44042,Yes
Toronto,,91217,
Shanghai,32,53624,Yes
NewYork,58,51245,No
NewYork,43,89352,No
LosAngeles,18,90795,Yes
LosAngeles,69,,
NewYork,25,39440,No
HongKong,69,64917,No
Bangkok,35,,
Shanghai,16,88354,Yes
Sydney,,118251,
Paris,64,,
Tokyo,53,,
RioDeJaneiro,41,96632,No
Shanghai,33,,
Chicago,,103382,
HongKong,36,111214,Yes
Moscow,21,37947,No
Delhi,,62552,
Chicago,70,,
Delhi,35,102674,Yes
Shanghai,,97800,
Delhi,54,112706,No
Moscow,43,100374,No
HongKong,22,34095,No
Tokyo,23,99731,Yes
Toronto,50,53164,No
London,58,79354,No
NewYork,25,103295,Yes
Chicago,24,83420,Yes
NewYork,60,106117,No
HongKong,54,103043,No
HongKong,27,135589,Yes
Mumbai,59,104647,No
Cairo,46,118129,No
Berlin,65,61513,No
Bangkok,59,65764,No
Berlin,,,
Bangkok,50,,
Shanghai,43,,
Cairo,,93474,
Seoul,36,96916,Yes
NewYork,19,63976,Yes
Sydney,16,56128,Yes
LosAngeles,30,49645,Yes
Tokyo,,108079,
Tokyo,66,,
LosAngeles,19,60163,Yes
Singapore,32,61525,Yes
Toronto,36,86765,Yes
Mumbai,43,101074,No
Seoul,39,64600,Yes
Toronto,27,,
Tokyo,39,89551,Yes
Delhi,31,108556,Yes
RioDeJaneiro,29,30818,No
Seoul,38,62599,Yes
Shanghai,61,,
Bangkok,64,50087,No
Tokyo,54,75145,No
Cairo,18,105540,Yes
Tokyo,43,100758,No
Sydney,43,,
Paris,65,58039,No
Bangkok,64,125957,No
Singapore,,39294,
Mumbai,49,90189,No
Delhi,42,,
Sydney,58,69192,No
Cairo,,87180,
Cairo,51,93491,No
Cairo,,85616,
Mumbai,,,
Moscow,59,53277,No
Shanghai,40,74071,No
Moscow,,45455,
London,26,59089,Yes
