relativehumidity_2m,dewpoint_2m,windspeed_100m,winddirection_100m,Power/hour
85,24.5,1.26,162,0.1635
86,24.7,3.99,158,0.1424
91,24.5,2.78,150,0.1214
88,24.3,2.69,105,0.1003
88,24.1,4.43,84,0.0793
90,25.2,5.59,80,0.0778
92,24.9,5.82,78,0.0959
91,26.1,6.24,78,0.1141
88,27.0,6.89,81,0.1322
82,29.1,6.01,86,0.1503
73,27.7,5.32,95,0.1684
69,27.0,4.65,99,0.1866
71,27.6,4.55,99,0.2066
73,28.2,3.92,96,0.2286
75,28.9,4.81,94,0.2506
80,29.8,4.82,95,0.2726
90,29.8,5.53,96,0.2945
92,30.8,6.07,99,0.3165
90,32.3,5.81,93,0.3162
92,33.8,5.79,108,0.2936
94,34.1,3.11,84,0.271
95,34.1,5.35,107,0.2484
95,34.3,6.91,112,0.2257
95,34.8,6.15,112,0.2031
96,35.1,5.6,92,0.1805
97,35.8,5.77,118,0.1579
99,36.2,3.39,135,0.1353
99,36.4,2.42,83,0.1127
100,36.2,1.63,43,0.0901
100,36.4,2.82,67,0.0858
100,35.8,3.86,80,0.0998
100,36.2,3.45,80,0.1138
100,36.5,4.62,72,0.1278
99,37.2,4.9,70,0.1418
99,37.6,4.2,65,0.1558
98,38.0,2.65,79,0.1698
97,38.1,1.58,55,0.1839
97,38.2,1.49,20,0.1979
99,38.4,2.2,321,0.2119
100,38.3,3.41,328,0.2259
100,37.9,4.88,317,0.2399
99,37.0,5.73,313,0.2539
99,36.2,4.53,329,0.2909
99,36.0,5.52,302,0.3508
99,35.5,5.46,296,0.4107
100,35.3,5.7,292,0.4706
99,34.8,8.14,281,0.5306
97,33.2,10.41,286,0.5905
95,32.3,8.32,290,0.6504
95,31.2,10.11,279,0.7103
93,30.6,9.93,279,0.7702
91,29.4,11.81,278,0.8301
88,25.5,11.93,274,0.89
78,20.0,12.3,270,0.9207
77,19.3,13.42,267,0.9221
71,13.9,12.81,268,0.9235
62,8.4,13.81,268,0.9248
56,4.5,13.51,268,0.9262
49,2.0,14.13,274,0.9276
50,2.0,13.96,275,0.929
48,1.5,13.81,272,0.9259
47,0.2,13.9,270,0.9183
46,-1.1,13.8,270,0.9107
45,-2.0,13.7,270,0.9031
49,-0.9,13.1,269,0.8955
49,-1.0,13.42,273,0.8879
52,-0.2,12.6,270,0.8775
52,-0.6,12.4,270,0.8642
55,-0.1,12.1,270,0.851
55,-0.3,11.4,268,0.8378
57,0.3,10.4,269,0.8246
57,0.4,10.32,267,0.8114
57,0.4,10.43,266,0.7982
59,0.5,10.15,264,0.785
59,0.0,9.63,265,0.7718
58,-0.6,9.06,264,0.7586
57,-0.8,8.96,259,0.7454
57,-0.6,8.05,264,0.7322
63,1.5,8.14,259,0.7191
63,1.3,7.72,253,0.706
61,1.3,7.28,254,0.693
54,-0.6,8.67,263,0.6799
53,-0.7,8.88,262,0.6668
51,-1.3,8.63,260,0.6537
50,-1.6,8.9,262,0.6569
50,-2.1,9.07,263,0.6762
48,-3.0,8.74,265,0.6956
49,-3.5,8.76,263,0.715
52,-2.7,7.71,260,0.7344
55,-2.6,7.32,256,0.7537
63,-2.1,8.13,249,0.7421
65,-3.0,8.38,250,0.6993
65,-3.5,8.13,254,0.6566
67,-3.9,8.22,252,0.6139
68,-4.2,7.67,258,0.5712
71,-4.6,7.32,256,0.5284
71,-5.3,7.62,253,0.4857
72,-5.7,7.69,257,0.443
71,-6.4,7.57,258,0.4003
71,-6.6,7.71,257,0.3575
71,-6.7,7.69,257,0.3148
72,-7.0,7.57,255,0.2969
73,-5.7,7.58,247,0.3038
76,-5.7,7.78,252,0.3107
76,-4.2,7.41,260,0.3177
67,-2.6,6.39,253,0.3246
59,-2.3,6.87,257,0.3315
53,-3.3,6.36,262,0.3384
50,-3.8,6.31,267,0.3349
49,-3.6,6.31,266,0.3211
48,-3.5,6.3,268,0.3072
50,-3.1,5.9,268,0.2934
60,-1.9,5.24,257,0.2795
65,-3.5,6.26,241,0.2657
67,-3.4,7.11,242,0.2634
59,-4.3,6.95,240,0.2727
57,-5.1,7.16,243,0.282
55,-5.6,7.11,256,0.2913
55,-5.7,6.96,258,0.3006
58,-5.0,7.62,253,0.3098
63,-3.8,7.47,258,0.3191
66,-3.2,7.32,260,0.3284
68,-3.0,6.87,262,0.3377
69,-2.9,6.4,260,0.347
71,-2.4,6.15,263,0.3563
75,-1.7,6.08,261,0.3896
81,-1.3,6.99,253,0.4468
82,-0.6,7.04,247,0.504
78,0.1,6.89,242,0.5612
66,0.3,6.22,242,0.6185
50,-3.2,6.73,259,0.6757
45,-4.8,7.37,262,0.7329
43,-5.1,7.99,261,0.7461
42,-5.0,8.34,260,0.7152
42,-5.1,8.39,262,0.6842
43,-5.0,8.64,265,0.6533
46,-4.0,8.36,263,0.6223
51,-1.9,8.11,268,0.5914
60,-0.8,8.62,266,0.5923
58,-1.7,9.34,276,0.625
61,-1.4,10.1,278,0.6577
68,0.5,10.03,275,0.6904
70,1.3,10.1,281,0.7231
66,0.3,9.93,289,0.7558
65,-0.3,10.23,292,0.7885
65,-0.4,11.02,294,0.8212
67,-0.1,10.18,293,0.8539
70,0.7,9.95,292,0.8866
72,1.0,9.68,293,0.9193
72,1.0,9.39,297,0.9096
69,0.6,10.2,307,0.8574
64,-1.2,9.78,311,0.8053
59,-2.3,9.4,315,0.7531
48,-5.0,9.95,321,0.701
45,-4.8,8.35,317,0.6488
42,-4.7,7.57,314,0.5967
42,-3.5,6.58,306,0.5449
44,-1.7,6.17,297,0.4934
44,-1.1,6.28,292,0.4418
42,-1.5,5.75,283,0.3903
47,-0.1,4.62,265,0.3388
51,0.2,5.13,237,0.2873
60,-1.1,6.4,231,0.2871
55,-1.6,6.72,223,0.3381
55,-1.6,6.68,219,0.3892
54,-1.6,6.46,215,0.4402
52,-1.6,6.66,208,0.4913
51,-2.1,7.28,196,0.5423
51,-1.9,7.91,198,0.5934
52,-1.1,8.38,200,0.6444
54,0.4,9.22,195,0.6955
58,2.2,10.29,196,0.7465
57,2.4,9.05,196,0.7976
59,3.1,8.86,196,0.8088
63,5.3,11.35,198,0.7802
60,4.9,10.58,211,0.7516
57,5.0,8.77,204,0.723
51,4.3,8.72,208,0.6944
45,4.9,8.52,216,0.6657
44,6.4,7.79,222,0.6371
45,8.1,7.68,235,0.5933
44,8.6,6.8,237,0.5341
44,9.2,6.74,238,0.475
46,10.2,6.85,236,0.4159
51,11.1,4.74,224,0.3568
57,11.4,4.96,199,0.2977
65,13.2,6.43,192,0.2976
61,12.4,6.53,185,0.3566
60,11.7,6.74,186,0.4156
58,11.1,7.5,179,0.4746
59,11.5,7.41,183,0.5337
61,13.2,7.03,186,0.5927
65,15.0,7.01,183,0.6517
71,17.0,7.72,176,0.7107
79,19.5,8.75,174,0.7697
85,21.3,9.38,173,0.8287
87,22.9,8.64,175,0.8877
88,23.8,9.65,174,0.9142
88,24.9,10.06,174,0.9083
87,25.3,9.87,173,0.9023
87,25.8,10.22,176,0.8964
86,26.7,11.43,171,0.8905
89,28.2,12.63,172,0.8845
91,29.8,13.83,172,0.8786
90,31.2,12.99,170,0.8797
88,32.6,12.9,180,0.888
88,34.7,14.55,185,0.8962
89,36.4,15.42,187,0.9044
88,37.7,15.95,188,0.9127
83,38.3,16.39,189,0.9209
88,40.5,17.59,195,0.9228
87,41.6,17.48,203,0.9183
87,42.5,16.28,217,0.9138
81,35.8,16.29,241,0.9094
87,33.0,16.67,250,0.9049
82,28.3,16.86,255,0.9005
77,25.8,15.87,255,0.896
